Season,Episode,Character,Line
26,1,Kyle,"Hey, dudes.
"
26,1,Stan,"Hey, what's up?
"
26,1,Kyle,"Just wondering if you guys have seen me and Tolkien's latest TikTok?
"
26,1,Stan,"You guys made another TikTok?
"
26,1,Tolkien,"I think it's really our best one yet!
"
26,1,Cartman,"Yeah, nobody really gives a shit about your TikToks, guys. 
"
26,1,Bebe,"Hey, really great TikTok guys!
"
26,1,Kyle and Tolkien,"Oh, thanks!
"
26,1,Red,"Yeah, it was pretty amazing.
"
26,1,Tolkien,"Awesome.
"
26,1,Kyle,"Well, anyway you guys gotta check it out when you get a chance. See ya later!
"
26,1,Tolkien,"Yeah, see you guys!
"
26,1,Butters,"Hey, fellas! Loved that last TikTok!
"
26,1,Tolkien,"Thanks, Butters!
"
26,1,,"
Konnichiwa
Sayonara
Kochi, kochi, kochi
Sayonara



"
26,1,Cartman,"What the fuck is this? Seriously, what the fuck is this? Have you guys noticed that Kyle and Tolkien are, like, doing everything together lately?
"
26,1,Stan,"Yeah, they're quite the little team, aren't they?
"
26,1,Stan,"I, uh... I'm gonna go inside, guys. I'm gonna get some homework done. 
"
26,1,Cartman,"Wow. I feel really bad for Stan. It's gotta be hard to suddenly have your best friend always hanging with someone else.
"
26,1,Kenny,"(Yeah.)
"
26,1,Cartman,"I gotta see if there's some way I can help. There's a little voice inside of me that can't stand to see my friend suffer.
"
26,1,Kenny,"(What are you gonna do?)
"
26,1,Cartman,"I'm gonna be a good Christian.
"
26,1,Mr Romero,"Okay, just the woodwinds for this section.
"
26,1,Cartman,"Hey, Tolkien! What's goin' on?
"
26,1,Tolkien,"This is the brass section.
"
26,1,Cartman,"Yeah, I know. I was just - I was noticing that you're kind of hanging out a lot with Kyle lately.
"
26,1,Tolkien,"Is there a problem with that?
"
26,1,Cartman,"No, I think it's amazing. It's awesome that someone like you could be okay with someone like him, given all the new information lately.
"
26,1,Cartman,"You know, the stuff that's come out about how the Jews stole the black race's identity, that the lost tribes of Judah were actually all Africans.  You didn't hear about this? Black people are actually the Jews and people like Kyle have taken that from them?
"
26,1,Tolkien," Stop talking to me.
"
26,1,Cartman,"When the Jews came to America to escape persecution in World War II, they found that Blacks were already the underclass in America, so they had to invent a story for themselves which they can make everyone believe...  ...because Kyle runs Hollywood!
"
26,1,Cartman," Kyle runs Hollywood, Tolkien.
"
26,1,Cartman,"Hey, Stan. Guess what? I have some good news for you.
"
26,1,Stan,"What?
"
26,1,Cartman,"A little magic fairy told me that you and Kyle are gonna get back together soon.
"
26,1,Stan,"I don't care that Kyle is making TikToks with Tolkien.
"
26,1,Cartman,"Yes, you do. But don't worry, Stan. It's almost Valentine's Day. And the little angel on my shoulder says that Kyle is gonna come running back to you any minute!
"
26,1,Kyle,"Hey, Stan.
"
26,1,Stan,"Oh! Hey, Kyle.
"
26,1,Kenny,"(Woah.)
"
26,1,Cartman,"Uh-huh.
"
26,1,Stan,"Well, dude, do you wanna sit down?
"
26,1,Kyle,"Oh, no sorry. I was actually just seeing if you had a phone charger I could borrow. Me and Tolkien are making another TikTok video and my stupid phone died!
"
26,1,Stan," Oh, yeah, sure...
"
26,1,Kyle,"Thanks, dude!  Tolkien, I got one, dude!
"
26,1,Cartman,"The fuck is going on?
"
26,1,Stan,"Well... um, I'm gonna head back to class, guys. 
"
26,1,Cartman,"I don't get it. The little cupid is always right.
"
