Season,Episode,Character,Line
22,1,Mrs. Nelson,"I want you all to take a close look at your math exams, children. Some of you did very well, but many of you did not. 
"
22,1,Cartman,"Oh, man!
"
22,1,Mrs. Nelson," The addition of fractions is very simple. Let's run through it again. How do we solve this first one? 
"
22,1,Butters," Add together the three and the three.
"
22,1,Mrs. Nelson," Good, Butters, we add the three's together.  And what about the four's? Tolkien?
"
22,1,Tolkien,"They're the denominators, so they stay a four.
"
22,1,Cartman,"Wait, wait, Tolkien got an A? But I cheated off Tolkien!
"
22,1,Mrs. Nelson,"Ah, I can't hear you, Eric.
"
22,1,Cartman,"I said something's wrong! I got an F, but I cheated off Tolkien!
"
22,1,SWAT officer 1," Active shooter! Active shooter! 
"
22,1,Mrs. Nelson,"And now we divide, right?! Craig, how about you?! What are we dividing?!
"
22,1,SWAT officer 1," Active shooter! Active shooter!
"
22,1,Craig,"Divide four by six? 
"
22,1,Mrs. Nelson,"The four by the six?!
"
22,1,SWAT officer 1,"Unit 5 in southwest classroom! 
"
22,1,Mrs. Nelson,"Or the six by the four?!
"
22,1,Kyle,"The six by the four!
"
22,1,SWAT officer 1,"Southwest classroom, clear! 
"
22,1,Mrs. Nelson,"Now we're gonna retake the exam on Friday.
"
22,1,Class,"AWWW!
"
22,1,SWAT officer 2,"Shooter's in the hallway! All units report! 
"
22,1,Mrs. Nelson,"Now I'm giving you an opportunity to do better. I hope you take advantage of it.
"
22,1,SWAT officer," Put down the gun, son. You don't wanna do this.
"
22,1,Cartman,"You can see where Tolkien erased his answers and wrote down the right ones! He did it to me on purpose! 
"
22,1,Mrs. Nelson,"Eric, that's enough!  Now let's move on to the next equation.
"
22,1,Cartman,"That is such bullshit, you guys! Tolkien knew I was cheating off him, so he deliberately put down the wrong answers! Why would he do that?!
"
22,1,Stan,"I flunked that test too. I don't understand fractions - they don't make any sense.
"
22,1,Cartman,"That's not the point, you guys! Why is Tolkien out to get me? There's something going on here.
"
22,1,Bill Keegan,"Another school shooting today has left students in shock and disbelief.
"
22,1,Kyle,"Yeah, Tolkien's probably sick of you cheating off him all the time.
"
22,1,Cartman,"But why now? That's the question, Kyle. I always cheat off Tolkien. Why did he choose now to hurt me?
"
22,1,Sharon," Stanley, oh my God!  Baby! Oh, you're okay!
"
22,1,Stan,"Uh, hey, Mom.
"
22,1,Sharon,"It's all right, Stanley. We're gonna go home and talk about this with your dad. And we will get through this as a family!  Come on, get in the car!
"
22,1,Cartman,"Dude, what's up Stan's mom's ass?
"
22,1,Sharon,"Stanley? Well? Do you wanna tell your father about what happened at school today?
"
22,1,Stan," Um... Oh- Oh, I... flunked my math quiz.
"
22,1,Sharon,"Noo, the other thing!
"
22,1,Randy," What other thing?  What happened at school today?
"
22,1,Stan," Oh, the school shooting?
"
22,1,Sharon,"Yes, the school shooting!
"
22,1,Stan,"Oh, yeah, some kid shot up the school.
"
22,1,Randy,"Who shot up the schoo-  was it you?
"
22,1,Stan,"No.
"
22,1,Randy,"Did you get shot?
"
22,1,Stan,"No.
"
22,1,Randy,"Oh...  Well, what's this about failing a math quiz?
"
22,1,Sharon," Are you serious?! Did you not hear what your child said?! Kids died at his school!
"
22,1,Randy,"I'm sorry, Sharon. I...
"
22,1,Sharon,"Why are you all acting like this is normal? What is wrong with you people?! 
"
22,1,Stan,"What's up Mom's ass?
"
22,1,Randy," Hey, Sharon, ya... doin' okay?
"
22,1,Sharon,"No, I'm not okay! Children were shot! They were killed at a school where they were supposed to be safe!
"
22,1,Randy,"Uh huh, and... what else is goin' on?
"
22,1,Sharon," Why does there need to be anything else?! Are you kidding me?!
"
22,1,Randy," I'm sorry. I'm sorry, Sharon.
"
22,1,Sharon,"Why isn't anyone else emotional?!
"
22,1,Randy,"...Hun, uh...  When was your last...? I mean, you know how sometimes things can seem like a little bigger deal 'cause you know, your... down there?
"
22,1,Sharon,"Don't you dare suggest that I'm only emotional because it's-
"
22,1,Randy,"I mean, I'm just, I'm just pointing out that it is around that time.
"
22,1,Sharon,"GET OUT, RANDY! I'M NOT OVERREACTING!
"
22,1,Randy,"Okay. Okay, love you, honey. I'll leave you alone.  Welp, another three days of this, probably. 
"
